Name,EnrollmentCount,Category,FullAddress,Latitude,Longitude
Le Center High School,173,Tiny,"Le Center High School, 150 W Tyrone St, Le Center, MN 56057-1299, USA",44.3913889,-93.7330556
Learning for Leadership Charter,28,Tiny,"Learning for Leadership Charter School, 3300 5th St NE # 150, Minneapolis, MN 55418-1165, USA",45.028797,-93.260999
Legacy Christian Academy,173,Tiny,"Legacy Christian Academy, 3037 Bunker Lake Blvd NW, Anoka, MN 55304-7807, USA",45.220797,-93.344062
LeRoy-Ostrander High School,81,Tiny,"Le Roy Ostrander High School, Le Roy, MN 55951, USA",43.5135764,-92.5098977
Lester Prairie High School,109,Tiny,"Lester Prairie Elementary School, 131 Hickory St N, Lester Prairie, MN 55354-7743, USA",44.883037,-94.043272
LeSueur-Henderson High School,321,Small,"Le Sueur Henderson High School, 901 Ferry St, Le Sueur, MN 56058-1699, USA",44.4577778,-93.9013889
Lewiston-Altura High School,233,Small,"Lewiston-Altura Secondary School, 100 County Road 25, Lewiston, MN 55952-2117, USA",43.9260092,-91.8098511
Liberty Classical Academy,33,Tiny,"Liberty Classical Academy, 2696 Hazelwood St, St Paul, MN 55109-1120, USA",45.0239663,-93.035487
Lincoln H I High School,93,Tiny,"Lincoln High School, Bloomington, MN 55431, USA",44.8430202,-93.3127248
Litchfield High School,481,Small,"Litchfield Senior High School, 901 N Gilman Ave, Litchfield, MN 55355-1408, USA",45.1361111,-94.5197222
Little Falls High School,654,Medium,"Little Falls High School, Little Falls, MN 56345, USA",45.9716667,-94.3472222
Littlefork-Big Falls High School,86,Tiny,"Littlefork-Big Falls School, 700 Main St, Littlefork, MN 56653-9319, USA",48.3988889,-93.5547222
Long Prairie-Grey Eagle H.S.,319,Small,"Grey Eagle Elementary School, 304 State St, Grey Eagle, MN 56336-1021, USA",45.825,-94.745
Luverne High School,310,Small,"Luverne Middle School, 709 N Kniss Ave, Luverne, MN 56156-1229, USA",43.6603129,-96.21273
Lyle High School,49,Tiny,"Lyle Public School, Lyle, MN 55953, USA",43.5092419,-92.943975
Mabel-Canton High School,93,Tiny,"Mabel Canton Elementary School, 316 W Fillmore, Mabel, MN 55954-1535, USA",43.5204781,-91.772776
MACCRAY High School,188,Tiny,"MACCRAY High School, 3rd Ave NW, Clara City, MN 56222, USA",44.957373,-95.373698
Madelia High School,139,Tiny,"Madelia High School, 320 Buck Ave SE, Madelia, MN 56062-1857, USA",44.0471826,-94.4113533
Mahnomen High School,141,Tiny,"Mahnomen High School, 309 1st St, Mahnomen, MN 56557-4717, USA",47.3136111,-95.9713888
Mahtomedi High School,1149,Large,"MAHTOMEDI HIGH SCHOOL, 8000 75th St N, Mahtomedi, MN 55115-1795, USA",45.057384,-92.94084
Main Street School of Performing Arts,226,Small,"Main Street School Performing Arts, 1320 Mainstreet, Hopkins, MN 55343-7403, USA",44.9243454,-93.4171727
Mankato East High School,784,Medium,"Mankato East Senior High School, 2600 Hoffman Rd, Mankato, MN 56001-6830, USA",44.1571887,-93.96051
Mankato Loyola High School,150,Tiny,"Loyola High School, Mankato, MN 56001, USA",44.165522,-93.9971773
Mankato West High School,1007,Large,"Mankato West Senior High School, Mankato, MN 56001, USA",44.1589101,-94.0176556
Maple Grove High School,2142,VeryLarge,"Maple Grove Senior High Crimson, 9800 Fernbrook Ln N, Maple Grove, MN 55369-9747, USA",45.1325585,-93.4595561
Maple Lake High School,287,Small,"Maple Lake School District, 200 Hwy 55, Maple Lake, MN 55358-4597, USA",45.2321936,-94.0045674
Maple River High School,295,Small,"Maple River Senior High School, 101 6th Ave SE, Mapleton, MN 56065-2020, USA",43.9282956,-93.9496753
Maranatha Christian Academy,173,Tiny,"Maranatha Christian Academy, 9201 75th Ave N, Brooklyn Park, MN 55428, USA",45.089717,-93.397286
Marshall County Central H. S.,106,Tiny,"Central Ave, Marshall, MN 56258, USA",44.4458339,-95.7783783
Marshall High School,699,Medium,"Marshall Senior High School, 400 Tiger Dr, Marshall, MN 56258-2631, USA",44.4560857,-95.7518894
"Marshall School, Duluth",236,Small,"Marshall School, 1215 Rice Lake Rd, Duluth, MN 55811, USA",46.801998,-92.113344
Martin County West High School,214,Small,"Martin County West High School, 16 W 5th St, Sherburn, MN 56171-1020, USA",43.6575558,-94.7287357
Martin Luther High School,68,Tiny,"Martin Luther High School, 315 Martin Luther Dr, Northrop, MN 56121, USA",43.7399834,-94.433441
Math & Science Academy,128,Tiny,"Math & Science Academy, 8430 Woodbury Xing, St Paul, MN 55125-9433, USA",44.9131493,-92.9343206
Mayer Lutheran High School,235,Small,"Mayer Lutheran High School, 305 5th St NE, Mayer, MN 55360-8533, USA",44.89,-93.8844444
McGregor High School,94,Tiny,"McGregor, MN 55760, USA",46.60667,-93.31278
Medford High School,215,Small,"Medford, MN 55049, USA",44.1721853,-93.2460463
Melrose Area High School,439,Small,"Melrose Secondary School, 546 N 5th Ave E, Melrose, MN 56352, USA",45.6812248,-94.8076757
Menahga High School,163,Tiny,"Menahga Elementary School, 121 Birch Ave SE, Menahga, MN 56464, USA",46.752628,-95.0952202
Mesabi Academy School,21,Tiny,"Mesabi Academy, 200 Wanless St, Buhl, MN 55713, USA",47.4953402,-92.7731355
Mesabi East High School,186,Tiny,"Aurora-Hoyt Senior High School, 601 N 1st St, Aurora, MN 55705-1301, USA",47.5319444,-92.2402778
Metro Deaf School,28,Tiny,"Metro Deaf School, 1471 Brewster St, St Paul, MN 55108-2612, USA",44.974821,-93.162211
Milaca High School,436,Small,"Milaca High School, 500 Hwy 23 W, Milaca, MN 56353-1147, USA",45.7519049,-93.64471
Minisinaakawang Leadership Academy,7,Tiny,"McGregor, MN 55760, USA",46.60667,-93.31278
Minneapolis Edison High School,558,Medium,"Thomas Edison High School, 700 22nd Ave NE, Minneapolis, MN 55418-3696, USA",45.009688,-93.2527906
Minneapolis North Community H.S.,171,Tiny,"North Community High School, 1500 James Ave N, Minneapolis, MN 55411-3199, USA",44.994137,-93.30069
Minneapolis Patrick Henry H. S.,747,Medium,"Henry Senior High School, 4320 Newton Ave N, Minneapolis, MN 55412-1150, USA",45.0341318,-93.3055049
Minneapolis Roosevelt High School,563,Medium,"Roosevelt High School (9-12), 4029 28th Ave S, Minneapolis, MN 55406, USA",44.9298519,-93.230453
Minneapolis South High School,1587,Large,"South High School, 3131 S 19th Ave, Minneapolis, MN 55407-1988, USA",44.9457506,-93.2437992
Minneapolis Southwest High School,1529,Large,"Southwest High School, 3414 W 47th St, Minneapolis, MN 55410-1798, USA",44.9185758,-93.3241151
Minneapolis Washburn High School,741,Medium,"Washburn High School, 201 W 49th St, Minneapolis, MN 55419-5588, USA",44.9133327,-93.2824625
Minnehaha Academy,486,Small,"Minnehaha Acadmey, Mississippi National River and Recreation Area, 3100 W River Pkwy, Minneapolis, MN 55406, USA",44.9459842,-93.2055482
Minneota High School,135,Tiny,"Minneota High School, 504 N Monroe St, Minneota, MN 56264, USA",44.5630556,-95.9813889
Minnesota New Country School,66,Tiny,"New Country School, 210 Main St, Henderson, MN 56044-7707, USA",44.5283333,-93.9030556
Minnesota Online High School,125,Tiny,"Minnesota Online High School, 1313 5th St SE, Minneapolis, MN 55414, USA",44.9620607,-93.1956854
Minnesota State Academy For The Blind,22,Tiny,"Minnesota State Academy for the Blind, 400 6Th Ave, Faribault, MN 55021-6343, USA",44.2866304,-93.2602154
Minnesota State Academy for the Deaf,46,Tiny,"State Academy For the Deaf, 615 Olaf Hansen Dr, Faribault, MN 55021-5330, USA",44.2971859,-93.2593823
Minnesota Transitions Charter School,157,Tiny,"Minnesota Transitions Charter School, 3216 E 29th St, Minneapolis, MN 55406-1780, USA",44.9501926,-93.2253918
Minnesota Valley Lutheran,205,Small,"Valley Lutheran Cemetery, Chester, MN 56684, USA",47.8428883,-95.7311456
Minnetonka High School,2750,VeryLarge,"Minnetonka High School, 18301 Hwy 7, Minnetonka, MN 55345-4114, USA",44.9082848,-93.5127765
Minnewaska Area H.S.,303,Small,"Minnewaska Area High School, 25122 State Highway 28, Glenwood, MN 56334-9327, USA",45.6248403,-95.4548666
Montevideo High School,372,Small,"Montevideo High School, 1501 Williams Ave, Montevideo, MN 56265-2269, USA",44.9388889,-95.7083333
Montgomery-Lonsdale High School,290,Small,"Montgomery-Lonsdale High School, 101 2nd St NE, Montgomery, MN 56069-1529, USA",44.4388527,-93.579637
Monticello High School,1087,Large,"Monticello High School, Monticello, MN 55362, USA",45.2870801,-93.7780923
Moorhead High School,1356,Large,"Moorhead High School, 2300 4th Ave S, Moorhead, MN 56560-3298, USA",46.8722222,-96.7436111
Moose Lake High School,215,Small,"Moose Lake Community Schools, 413 Birch Ave, Moose Lake, MN 55767-7711, USA",46.455,-92.7561111
Mora High School,454,Small,"Mora High School, 400 Maple Ave E, Mora, MN 55051-1387, USA",45.8779787,-93.2926273
Morris Area School,295,Small,"Morris Area Elementary School, 153 S Columbia Ave, Morris, MN 56267-1545, USA",45.5844436,-95.9030761
Mounds Park Academy,243,Small,"Mounds Park Academy, 2051 Larpenteur Ave E, St Paul, MN 55109, USA",44.9940465,-93.0138373
Mounds View High School,1671,Large,"Mounds View Senior High School, 1900 Lake Valentine Rd, Arden Hills, MN 55112-2899, USA",45.064731,-93.177795
Mound-Westonka High School,644,Medium,"Westonka High School, 5905 Sunnyfield Rd E, Mound, MN 55364-8251, USA",44.9567611,-93.6715254
Mountain Iron-Buhl High School,113,Tiny,"Mountain Iron Buhl High School, 5720 Marble Ave, Mountain Iron, MN 55768-3002, USA",47.527129,-92.62065
Mountain Lake High School,111,Tiny,"Mountain Lake Christian School, 710 11th St, Mountain Lake, MN 56159-1012, USA",43.9416238,-94.92582
Mt. Lake Christian High School,33,Tiny,"Mountain Lake, MN 56159, USA",43.938846,-94.9297089
Murray County Central High School,202,Small,"Murray County Central High School, 2420 28th St, Slayton, MN 56172-1498, USA",43.9846863,-95.7569575
Nashwauk-Keewatin High School,133,Tiny,"Nashwauk-Keewatin High School, 400 2nd St, Nashwauk, MN 55769-1298, USA",47.3761111,-93.1663889
Nevis High School,136,Tiny,"Nevis, MN 56467, USA",46.9652363,-94.8394565
New Century Charter School,91,Tiny,"New Century Charter School, Hutchinson, MN 55350, USA",44.898611,-94.3541666
New Life Academy of Woodbury,239,Small,"New Life Academy, 6758 Bailey Rd, Woodbury, MN 55129, USA",44.8908642,-92.9688228
New London-Spicer High School,446,Small,"New London-Spicer School District 345, 101 4Th Ave, New London, MN 56273-8617, USA",45.2953141,-94.9431662
New Prague High School,1111,Large,"New Prague Senior High School, 221 12th St NE, New Prague, MN 56071-2074, USA",44.5561111,-93.5744444
New Richland-H-E-G H.S.,264,Small,"New Richland, MN 56072, USA",43.8938493,-93.4938287
New Testament Christian School,19,Tiny,"New Testament Christian School, 2505 State Highway 29, Alexandria, MN 56308-8500, USA",45.9102778,-95.3361111
New Ulm Cathedral High School,152,Tiny,"Cathedral High School, 600 N Washington St, New Ulm, MN 56073-1896, USA",44.3174625,-94.4685846
New Ulm High School,589,Medium,"New Ulm High School, 414 S Payne St, New Ulm, MN 56073-3273, USA",44.3041667,-94.4633333
New York Mills High School,158,Tiny,"New York Mills Elementary School, 209 Hayes Ave, New York Mills, MN 56567, USA",46.5213889,-95.3777778
Nicollet High School,90,Tiny,"Nicollet High School, Nicollet, MN 56074, USA",44.273611,-94.1866667
Norman County East High School,95,Tiny,"Norman County East High School, Twin Valley, MN 56584, USA",47.2611111,-96.2641667
Norman County West High School,65,Tiny,"Norman County East High School, Twin Valley, MN 56584, USA",47.2611111,-96.2641667
North Branch High School,945,Medium,"North Branch Senior High School, 38175 Grand Ave, North Branch, MN 55056-6070, USA",45.5019444,-92.9683333
North High School,1671,Large,"North High School, 1500 James Ave N, Minneapolis, MN 55411-3199, USA",44.994137,-93.30069
North Lakes Academy,126,Tiny,"North Lakes Academy, 255 7th Ave NW # B, Forest Lake, MN 55025-1177, USA",45.2872569,-92.9864939
North Woods High School,86,Tiny,"Cook School, 306 E Vermilion Blvd, Cook, MN 55723-9744, USA",47.85333,-92.695712
Northeast Range High School,91,Tiny,"Babbitt Elementary School, 30 South Dr, Babbitt, MN 55706-1108, USA",47.7080556,-91.9508333
Northfield High School,1173,Large,"Northfield Senior High School, 1400 Division St S, Northfield, MN 55057-2799, USA",44.444082,-93.163477
Northland High School,109,Tiny,"Northland Secondary School, 316 Main St E, Remer, MN 56672, USA",47.058385,-93.910113
Northome High School,53,Tiny,"Northome School, 11731 Hwy 1 E, Northome, MN 56661, USA",47.8749071,-94.2353823
Northwest Passage Charter High School,147,Tiny,"Coon Rapids, MN, USA",45.1199652,-93.2877277
Norwood-Young America High School,331,Small,"Central High School, Norwood Young America, MN 55368, USA",44.7741667,-93.9222221
Nova Classical Academy,54,Tiny,"Nova Classical Academy, 1668 Montreal Ave, St Paul, MN 55116-2469, USA",44.911561,-93.170785
Ogilvie High School,155,Tiny,"Ogilvie High School, 333 School Dr, Ogilvie, MN 56358-9019, USA",45.8266451,-93.4326194
Onamia High School,133,Tiny,"Onamia High School, 35465 125th Ave # 1, Onamia, MN 56359-3210, USA",46.0614643,-93.6725689
Orono High School,876,Medium,"Orono School District, 685 N Old Crystal Bay Rd, Long Lake, MN 55356, USA",44.991004,-93.5956621
Ortonville High School,183,Tiny,"Ortonville High School, 200 Trojan Dr, Ortonville, MN 56278-1393, USA",45.3083333,-96.4411111
Osakis High School,237,Small,"Osakis High School, 500 E 1st Ave, Osakis, MN 56360-8253, USA",45.8648486,-95.1506208
Osseo High School,1823,Large,"Osseo Jr High School, 10223 93rd Ave N, Maple Grove, MN 55369-4197, USA",45.122611,-93.411478
Owatonna High School,1442,Large,"Owatonna Senior High School, 333 E School St, Owatonna, MN 55060-3095, USA",44.07853,-93.219259
PACT Charter School,191,Tiny,"Pact Charter School, 7250 E Ramsey Pkwy, Anoka, MN 55303-6902, USA",45.233792,-93.451288
Park Center High School,1471,Large,"Park Center Ib World School, 7300 Brooklyn Blvd, Brooklyn Park, MN 55443-3395, USA",45.089222,-93.344078
Park Christian High School,106,Tiny,"Moorhead, MN, USA",46.8738889,-96.7672222
Park High School,1656,Large,"Park High School, 8040 80th St S, Cottage Grove, MN 55016-2097, USA",44.83445,-92.941108
Park Rapids Area High School,405,Small,"Park Rapids High School, 301 Huntsinger Ave, Park Rapids, MN 56470-1107, USA",46.9258333,-95.0644444
Parkers Prairie High School,159,Tiny,"Parkers Prairie Elementary School, 411 S Otter Ave, Parkers Prairie, MN 56361-4504, USA",46.1502683,-95.3289622
Paynesville Area High School,267,Small,"MIDDLE SCHOOL PRINCIPAL, 795 W State Highway 23, Paynesville, MN 56362-2098, USA",45.3741667,-94.7277778
Pelican Rapids High School,266,Small,"Pelican Rapids High School, 310 S Broadway, Pelican Rapids, MN 56572, USA",46.566399,-96.083893
Pequot Lakes High School,427,Small,"Pequot Lakes High School, Pequot Lakes, MN 56472, USA",46.6,-94.31667
Perham High School,413,Small,"Perham High School, 200 5th St, Perham, MN 56573-1762, USA",46.59,-95.5752778
Perpich Center for Arts Education,259,Small,"Perpich Center for Arts Education, 6125 Olson Memorial Hwy, Golden Valley, MN 55422-4918, USA",44.983804,-93.358677
Pierz High School,309,Small,"Pierz, MN 56364, USA",45.9816318,-94.1047124
Pillager High School,200,Tiny,"Pillager Elementary School, 323 E 2nd St, Pillager, MN 56473, USA",46.327774,-94.470317
Pine City High School,395,Small,"Pine City Area Learning Center, 1400 Main St S, Pine City, MN 55063-2155, USA",45.8125046,-92.9704915
Pine Island High School,333,Small,"Pine Island High School, 223 1st Ave SE, Pine Island, MN 55963-7518, USA",44.2011111,-92.6441667
Pine River-Backus High School,205,Small,"Pine River-Backus High School, 810 1st St, Pine River, MN 56474-4496, USA",46.71917,-94.38806
Pipestone Area High School,287,Small,"Pipestone, MN 56164, USA",43.9985815,-96.3128117
Plainview-Elgin-Millville High School,478,Small,"Plainview School Superintendent's Office, 500 W Broadway, Plainview, MN 55964-1031, USA",44.1655556,-92.1733333
Prairie Seeds Academy,137,Tiny,"Minnesota, USA",46.729553,-94.6858998
Prestige Academy,42,Tiny,"Ascension Academy, 1704 Dupont Ave N, Minneapolis, MN 55411-3219, USA",44.996905,-93.2918569
Princeton High School,925,Medium,"Princeton High School, 606 3rd St S, Princeton, MN 55371, USA",45.5670158,-93.5818224
Prior Lake High School,2154,VeryLarge,"PRIOR LAKE HIGH SCHOOL, 7575 150th St W, Savage, MN 55378-2131, USA",44.728105,-93.3777999
Proctor High School,500,Small,"Proctor Senior High School, 131 9th Ave, Duluth, MN 55810-2741, USA",46.7438889,-92.2363889
Providence Academy,287,Small,"Providence Academy, 15100 Schmidt Lake Rd, Plymouth, MN 55446, USA",45.043555,-93.471937
Randolph High School,161,Tiny,"Randolph, MN, USA",44.526078,-93.0199336
Red Lake County Central,71,Tiny,"Central Ave, Plummer, MN 56748, USA",47.9116496,-96.0499727
Red Lake Falls High School,108,Tiny,"Red Lake Falls Public Schools, 404 Champagne Ave SW, Red Lake Falls, MN 56750-4503, USA",47.8801194,-96.2755382
Red Lake High School,175,Tiny,"Red Lake Alternative Learning, Red Lake, MN 56667, USA",47.8763514,-95.0168839
Red Rock Central High School,121,Tiny,"Red Rock Central High School, 100 6th Ave E, Lamberton, MN 56152-1059, USA",44.2269444,-95.2625
Red Wing High School,809,Medium,"Red Wing High School, Red Wing, MN 55066, USA",44.5369444,-92.5161111
Redwood Valley High School,353,Small,"Redwood Area Schools, 100 George Ramseth Dr, Redwood Falls, MN 56283-1938, USA",44.5387583,-95.091682
Renville County West High School,132,Tiny,"Renville Public School, Renville, MN 56284, USA",44.7913077,-95.2079809
Richfield High School,928,Medium,"RICHFIELD HIGH SCHOOL, 7001 S Harriet Ave, Richfield, MN 55423, USA",44.876264,-93.2857934
Riverway Learning Community,22,Tiny,"Minnesota, USA",46.729553,-94.6858998
Robbinsdale Armstrong High School,1789,Large,"Robbinsdale Armstrong High School, 10635 36th Ave, Minneapolis, MN 55441-2410, USA",45.019456,-93.417961
Robbinsdale Cooper High School,1468,Large,"Robbinsdale Cooper High School, New Hope, MN 55428, USA",45.0416312,-93.384674
Rochester Century High School,1275,Large,"Century High School, 2525 Viola Rd NE, Rochester, MN 55906-7604, USA",44.049535,-92.425318
Rochester John Marshall,1391,Large,"John Marshall, Rochester, MN 55901, USA",44.0346416,-92.4839094
Rochester Lourdes High School,460,Small,"Lourdes High School, 621 W Center St, Rochester, MN 55902-6200, USA",44.0238528,-92.4718438
Rochester Mayo High School,1506,Large,"Mayo High School, 1420 11th Ave SE, Rochester, MN 55904-5306, USA",44.0030193,-92.4465642
Rochester Off-Campus Charter High School,83,Tiny,"Rochester Off-Campus Public Charter High School, 2364 Valleyhigh Dr NW, Rochester, MN 55901-7641, USA",44.0478672,-92.5074074
Rockford High School,401,Small,"Rockford High School, Rockford, MN 55373, USA",45.0883333,-93.72
Rocori High School,742,Medium,"Rocori Senior High School, 534 5th Ave N, Cold Spring, MN 56320-1498, USA",45.4633333,-94.4283333
Rogers High School,1161,Large,"Rogers Senior High School, 21000 141st Ave, Rogers, MN 55374-4596, USA",45.213893,-93.543943
Roseau High School,374,Small,"Roseau High School, 509 3rd St, Roseau, MN 56751-1113, USA",48.8486111,-95.7558333
Rosemount High School,2013,VeryLarge,"Rosemount High School, 3335 142nd St W, Rosemount, MN 55068-4029, USA",44.74434,-93.131993
Roseville Area High School,1840,Large,"Roseville Area High School, 1240 County Road B2 W, Roseville, MN 55113-4396, USA",45.0116538,-93.1528509
Rothsay High School,59,Tiny,"Rothsay, MN 56579, USA",46.4733333,-96.2833333
Round Lake-Brewster,69,Tiny,"Brewster, Minnesota, USA",43.7182089,-95.4568133
Royalton High School,183,Tiny,"Royalton High School, 120 S Hawthorn St, Royalton, MN 56373-9111, USA",45.8291667,-94.2816667
Rush City High School,236,Small,"Rush City High School, 51001 Fairfield Ave, Rush City, MN 55069, USA",45.69,-92.9808333
Rushford-Peterson High School,146,Tiny,"Rushford Peterson High School, 102 N Mill St, Rushford, MN 55971-9195, USA",43.8113532,-91.7523702
Russell-Tyler-Ruthton High School,153,Tiny,"RTR High School, 100 Strong St, Tyler, MN 56178-1157, USA",44.2784089,-96.134715
Sacred Heart High School,102,Tiny,"Sacred Heart High School, 122 3rd St NW, East Grand Forks, MN 56721-1827, USA",47.9277919,-97.0229321
Saint Agnes High School,216,Small,"St Agnes School, 530 Lafond Ave, St Paul, MN 55103-1693, USA",44.9599655,-93.1224421
Saint Anthony Village High School,609,Medium,"St ANTHONY VILLAGE HIGH SCHOOL, 3303 33rd Ave NE, Minneapolis, MN 55418-1798, USA",45.0296044,-93.2136512
Saint Charles High School,263,Small,"St Charles High School, 600 E 6th St, St Charles, MN 55972-1498, USA",43.971927,-92.0559558
Saint Clair High School,175,Tiny,"St Clair High School, 121 Main St W, St Clair, MN 56001, USA",44.0837335,-93.860611
Saint Cloud Apollo High School,1031,Large,"Apollo High School, 1000 44th Ave N, St Cloud, MN 56303-2036, USA",45.5672485,-94.2124572
Saint Cloud Cathedral High School,434,Small,"John Xxiii/Cathedral High Schl, 312 7th Ave N, St Cloud, MN 56303-3634, USA",45.5635456,-94.1625202
Saint Cloud Christian School,61,Tiny,"St Cloud Christian School, St Cloud, MN 56301, USA",45.552743,-94.1705453
Saint Cloud Tech High School,1241,Large,"Technical High School, 233 12th Ave S, St Cloud, MN 56301-4293, USA",45.5541667,-94.165
Saint Croix Lutheran High School,411,Small,"St Croix Lutheran High School, 1200 Oakdale Ave, West St Paul, MN 55118-2699, USA",44.910353,-93.0729379
Saint Francis High School,1504,Large,"St Francis High School, St Francis, MN 55070, USA",45.3880556,-93.35
Saint James High School,292,Small,"St James High School, 1001 10th Ave N, St James, MN 56081-2000, USA",43.9910689,-94.625529
Saint John's Prep,223,Small,"St John's Preparatory School, Saint John's University, Collegeville, MN 56374, USA",45.5797222,-94.3886111
Saint Louis Park High School,1178,Large,"St Louis Park High School, 6425 W 33rd St, St Louis Park, MN 55426-3498, USA",44.9430485,-93.3613562
Saint Michael-Albertville H.S.,1314,Large,"St Michael-Albertville Arena, 5898 Lachman Ave NE, Albertville, MN 55301-3956, USA",45.23788,-93.660657
Saint Paul Central High School,1716,Large,"Central High School, 275 Lexington Pkwy, St Paul, MN 55104-5402, USA",44.94941,-93.1479984
Saint Paul Como Park H.S.,1111,Large,"Como Park: Visitor Services Administration, Kaufman Dr, St Paul, MN 55103, USA",44.9799985,-93.152865
Saint Paul Harding High School,1355,Large,"Harding High School, 1540 6Th St, St Paul, MN 55106-4806, USA",44.9594689,-93.0360568
Saint Paul Highland Park,1151,Large,"Victoria Highland Park, St Paul, MN 55118, USA",44.8943968,-93.1349956
Saint Paul Humboldt High School,423,Small,"Humboldt Senior High School, 30 Baker St E, St Paul, MN 55107-2997, USA",44.9266324,-93.0843847
Saint Paul Johnson High School,1123,Large,"St Paul Johnson High School, 1349 Arcade St, St Paul, MN 55106-1899, USA",44.9816323,-93.0671627
Saint Paul Open School,84,Tiny,"Marcy Open Elementary School (K-8), 415 4th Ave SE, Minneapolis, MN 55414-1761, USA",44.9862531,-93.2497898
Saint Peter High School,492,Small,"St Peter High School, St Peter, MN 56082, USA",44.3285203,-93.9662951
Saint Thomas Academy,1066,Large,"St Thomas Academy, 949 Mendota Heights Rd, Mendota Heights, MN 55120, USA",44.8655629,-93.1384632
Sartell-Saint Stephen High School,962,Medium,"Sartell, MN, USA",45.6216318,-94.2069365
Sauk Centre High School,334,Small,"Sauk Centre Senior High School, 903 State Rd, Sauk Centre, MN 56378-1672, USA",45.7287282,-94.9445492
Sauk Rapids-Rice High School,1078,Large,"Sauk Rapids-Rice Senior High School, 1835 Osauka Rd, Sauk Rapids, MN 56379-4530, USA",45.6093413,-94.1263045
Schaeffer Academy,93,Tiny,"Schaeffer Academy, Rochester, MN 55906, USA",44.0527778,-92.4169444
Sebeka High School,146,Tiny,"Sebeka Elementary School, 200 1st St NW, Sebeka, MN 56477-2467, USA",46.6309902,-95.0909837
Shakopee High School,1736,Large,"Shakopee Senior High School, 100 17th Ave W, Shakopee, MN 55379-4800, USA",44.7685449,-93.5288537
Shattuck-Saint Mary's,391,Small,"Shattuck-St Marys School, 1000 Shumway Ave, Faribault, MN 55021-4400, USA",44.3054856,-93.2590932
Sibley East High School,313,Small,"Sibley East High School, Arlington, MN 55307, USA",44.6089947,-94.0790106
Silver Bay (Wm. Kelley) High School,130,Tiny,"William Kelley Elementary School, 137 Banks Blvd, Silver Bay, MN 55614-1297, USA",47.2941596,-91.272303
Simley High School,973,Medium,"Simley Senior High School, 2920 80th St E, Inver Grove Hts, MN 55076-3232, USA",44.8316329,-93.0454929
Sioux Valley Lutheran High School,6,Tiny,"Lakefield, MN 56150, USA",43.6774593,-95.1716615
Sleepy Eye High School,162,Tiny,"Sleepy Eye Public High School, 400 4th Ave SW, Sleepy Eye, MN 56085, USA",44.2941023,-94.7273555
Sleepy Eye Saint Mary's High School,124,Tiny,"St Mary's Grade School, 104 St Marys St NW, Sleepy Eye, MN 56085-1098, USA",44.3045899,-94.7229352
South Ridge High School,107,Tiny,"East Ridge High School, 4200 Pioneer Dr, Woodbury, MN 55129-9534, USA",44.8862624,-92.9327734
South Saint Paul High School,768,Medium,"South St Paul High School's Student Parking Lot 1, 700 2nd St N, South St Paul, MN 55075-2099, USA",44.8926752,-93.0417041
Southland High School,212,Small,"Southland School District, 203 NW 2nd St, Adams, MN 55909-9686, USA",43.5688546,-92.7165723
Southwest Christian School,163,Tiny,"Southwest MN Christian High School, 550 W Elizabeth St, Edgerton, MN 56128-2777, USA",43.8759251,-96.1382995
Southwest Minnesota Christian,109,Tiny,"Central Minnesota Christian School, 204 School St, Prinsburg, MN 56281, USA",44.9372432,-95.1861691
Southwest Star Concept H. S.,116,Tiny,"Southwest Star Concept School, 124 N Minnesota Ave, Okabena, MN 56161-4000, USA",43.740453,-95.316674
Spectrum High School,222,Small,"Spectrum High School, 10129 181st Ave NW, Elk River, MN 55330-3305, USA",45.2994473,-93.5235612
Spring Grove High School,86,Tiny,"Spring Grove High School, 113 2nd Ave, Spring Grove, MN 55974-1204, USA",43.560802,-91.6418123
Spring Lake Park High School,1135,Large,"Spring Lake Park Senior High School, 8001 Able St NE, Spring Lake Park, MN 55432, USA",45.1132634,-93.2483528
Springfield High School,176,Tiny,"Springfield School District, 12 Burns Ave, Springfield, MN 56087-1202, USA",44.2383333,-94.9822222
St. Croix Preparatory Academy,176,Tiny,"Minnesota, USA",46.729553,-94.6858998
St. John Vianney Academy,25,Tiny,"St John Vianney School, 789 17th Ave N, South St Paul, MN 55075-1497, USA",44.9044445,-93.0564246
St. Paul Academy and Summit School,353,Small,"St Paul Academy and Summit School, 1712 Randolph Ave, St Paul, MN 55105, USA",44.92563,-93.174727
St. Paul Preparatory School,163,Tiny,"St Paul, MN, USA",44.9541667,-93.1138889
St.Paul Conservatory for Performing Arts,521,Medium,"St Paul Conservatory for Performing Artists, Ste 522, 75 5th St, St Paul, MN 55102-1439, USA",44.94515,-93.0966718
Staples-Motley High School,372,Small,"Staples Motley High School, 401 Centennial Ln, Staples, MN 56479-2118, USA",46.3577778,-94.7963889
Stephen-Argyle Central High School,98,Tiny,"Stephen - Argyle Central School, 6th St, Stephen, MN 56757, USA",48.4505556,-96.8783333
Stewartville High School,484,Small,"Stewartville High School, 400 6th Ave SW, Stewartville, MN 55976, USA",43.8486026,-92.4957022
Stillwater Area High School,2670,VeryLarge,"Stillwater Area High School, 2003 Willard St, Stillwater, MN 55082-5553, USA",45.0294444,-92.8472222
Studio Academy,77,Tiny,"Studio Academy Charter School, 415 16th St SW, Rochester, MN 55902-2125, USA",44.0005171,-92.4695098
